Wall time,Step,Value
1649661709.682243,0,0.013600349426269531
1649661725.850723,1,0.0007939456263557076
1649661741.904735,2,0.0003983786446042359
1649661757.872205,3,0.0003119033353868872
1649661773.921441,4,0.0002618996368255466
1649661790.110018,5,0.00023682597384322435
1649661806.074393,6,0.00022015352442394942
1649661822.497604,7,0.00020064720592927188
1649661838.932928,8,0.00019054148287978023
1649661854.508739,9,0.0001843949721660465
1649661870.663114,10,0.00017230454250238836
1649661886.727236,11,0.0001676158281043172
1649661902.589309,12,0.0001538288197480142
1649661918.875545,13,0.0001521084050182253
1649661935.369713,14,0.0001418696774635464
1649661951.633291,15,0.00013575640332419425
1649661967.610025,16,0.00013284149463288486
1649661983.30239,17,0.00012041670561302453
1649661999.070807,18,0.00011273718700977042
1649662014.530594,19,0.00010883541835937649
1649662029.831565,20,9.79348478722386e-05
1649662045.223878,21,9.527691872790456e-05
1649662060.722062,22,8.575465471949428e-05
1649662076.705203,23,8.156102558132261e-05
1649662092.766494,24,7.688218465773389e-05
1649662108.267568,25,7.611447654198855e-05
1649662124.098263,26,7.170018943725154e-05
1649662140.328203,27,6.975379073992372e-05
1649662157.348869,28,6.633183511439711e-05
1649662173.225398,29,6.316978397080675e-05
1649662189.626138,30,5.962916839052923e-05
1649662206.254593,31,5.779430648544803e-05
1649662222.678058,32,5.455728751257993e-05
1649662238.531825,33,5.5716420320095494e-05
1649662254.679681,34,5.2370822231750935e-05
1649662270.813125,35,5.219799277256243e-05
1649662286.703762,36,4.837967935600318e-05
1649662303.24381,37,4.8821355449035764e-05
1649662319.320671,38,4.698902921518311e-05
1649662335.321225,39,4.6852786908857524e-05
1649662352.16454,40,4.5360273361438885e-05
1649662370.43923,41,4.3986223317915574e-05
1649662387.379406,42,4.373078263597563e-05
1649662404.467277,43,4.193321365164593e-05
1649662420.681613,44,4.2126070184167475e-05
1649662437.351943,45,4.232823630445637e-05
1649662453.802256,46,3.807428583968431e-05
1649662470.040203,47,3.85713174182456e-05
1649662485.936853,48,3.743699926417321e-05
1649662502.981746,49,3.8141937693580985e-05
1649662519.782099,50,3.853861562674865e-05
1649662535.376641,51,3.508483860059641e-05
1649662551.511319,52,3.555677176336758e-05
1649662568.264416,53,3.694460974656977e-05
1649662584.856578,54,3.336999725433998e-05
1649662600.970485,55,3.385643503861502e-05
1649662617.418421,56,3.3679851185297593e-05
1649662633.402786,57,3.342467243783176e-05
1649662649.115855,58,3.31865630869288e-05
1649662665.834958,59,3.241597369196825e-05
1649662683.843034,60,3.226427361369133e-05
1649662699.954506,61,3.153022407786921e-05
1649662715.948466,62,3.12304291583132e-05
1649662732.640622,63,2.844257323886268e-05
1649662749.730383,64,3.177703911205754e-05
1649662766.491628,65,2.9799610274494626e-05
1649662782.723198,66,2.885096000682097e-05
1649662798.83856,67,3.0051160138100386e-05
1649662814.233188,68,2.819416295096744e-05
1649662830.118771,69,2.930170921899844e-05
1649662846.486896,70,2.884917012124788e-05
1649662862.970395,71,2.681935075088404e-05
1649662878.578693,72,2.725423291849438e-05
1649662894.579297,73,2.767513069557026e-05
1649662910.595889,74,2.932348616013769e-05
1649662927.190636,75,2.5855191779555753e-05
1649662943.351877,76,2.5071400159504265e-05
1649662959.557213,77,2.6406683900859207e-05
1649662976.591148,78,2.697329910006374e-05
1649662993.049611,79,2.620144914544653e-05
1649663010.041771,80,2.6521365725784563e-05
