Wall time,Step,Value
1646995684.153047,0,0.0002922230341937393
1646995697.820687,1,1.6205588053708198e-06
1646995711.20812,2,8.198586556318332e-07
1646995724.988885,3,9.500553233010578e-07
1646995738.490319,4,1.5635562249372015e-06
1646995752.185683,5,1.7564934751135297e-06
1646995766.14179,6,1.1983869399045943e-06
1646995780.275727,7,1.2167611203039996e-06
1646995794.194715,8,1.6595903389315936e-06
1646995807.851353,9,1.8112174302586936e-06
1646995821.013764,10,5.534852789423894e-07
1646995834.972918,11,1.971396386579727e-06
1646995848.045733,12,9.300679835178016e-07
1646995862.183539,13,1.0360942042098031e-06
1646995875.733426,14,1.5949116232150118e-06
1646995889.708438,15,6.198409323587839e-07
1646995904.0771,16,8.022221891224035e-07
1646995918.395828,17,6.772155529688462e-07
1646995932.091529,18,1.0531026646276587e-06
1646995945.490601,19,7.666479859835817e-07
1646995959.164024,20,9.76101773630944e-07
1646995972.125282,21,7.402459232253022e-07
1646995985.823573,22,6.916117172295344e-07
1646995999.759289,23,9.217163210450963e-07
1646996013.235292,24,6.527085361085483e-07
1646996027.027664,25,1.0678261332941474e-06
1646996040.647642,26,6.975089377192489e-07
1646996054.432185,27,4.353465783424326e-07
1646996068.290845,28,6.618377028644318e-07
1646996081.71619,29,8.558226340937836e-07
1646996095.604837,30,7.194049658210133e-07
1646996109.883035,31,7.275805273820879e-07
1646996124.104673,32,1.2498592241172446e-06
1646996137.613084,33,2.0725890692574467e-07
1646996151.361809,34,6.594407295779092e-07
1646996164.878404,35,6.097440063967952e-07
1646996178.821313,36,4.892659717370407e-07
1646996192.648071,37,5.63726416658028e-07
1646996206.241249,38,3.472093794698594e-07
1646996220.334828,39,6.224142907740315e-07
1646996234.100871,40,5.540606480280985e-07
1646996247.710527,41,4.503472439409961e-07
1646996261.953343,42,4.561139235192968e-07
1646996275.909763,43,5.251801553640689e-07
1646996289.777518,44,7.284518801498052e-07
1646996303.63196,45,2.925089859218133e-07
1646996317.051792,46,7.137917918953463e-07
1646996330.863792,47,7.127936214601505e-07
1646996344.251835,48,2.0478950091273873e-07
1646996357.556198,49,4.211713928725658e-07
1646996371.361112,50,5.160584919394751e-07
1646996385.161279,51,2.371535998690888e-07
1646996399.121834,52,5.602816486316442e-07
1646996412.627969,53,3.937347230476007e-07
1646996426.752645,54,4.998860276828054e-07
1646996439.925865,55,4.853803829973913e-07
1646996453.726162,56,3.225451052912831e-07
1646996467.977452,57,2.7644969691209553e-07
1646996480.945607,58,4.974819489689253e-07
1646996494.756799,59,3.876235439292941e-07
1646996508.698517,60,3.4613861998877837e-07
1646996522.384302,61,6.617182748414052e-07
1646996535.707516,62,2.4684223376425507e-07
1646996549.349542,63,2.543669666010828e-07
1646996562.983355,64,3.996823920715542e-07
1646996576.465269,65,4.388169259073038e-07
1646996589.95542,66,3.391843961253471e-07
1646996602.95429,67,3.8094358956186625e-07
1646996616.18301,68,2.5272652237617876e-07
1646996628.668335,69,3.2537957395106787e-07
1646996641.965941,70,4.395821235902986e-07
1646996655.224528,71,4.439586120952299e-07
1646996668.613707,72,2.5928591185220284e-07
1646996681.933553,73,3.043574281491601e-07
1646996695.385783,74,4.241269948579429e-07
1646996708.982683,75,1.4729701547366858e-07
1646996722.942493,76,4.828106625609507e-07
1646996735.904605,77,1.9697816355801478e-07
1646996750.060687,78,4.766996539729007e-07
1646996763.372154,79,2.0976914072434738e-07
1646996777.21066,80,3.726669888237666e-07
1646996790.521109,81,1.816570573964782e-07
1646996803.975665,82,3.8092201748440857e-07
1646996817.570272,83,3.67504469522828e-07
1646996831.788476,84,1.8693690151394549e-07
1646996845.554736,85,2.875188442885701e-07
1646996858.974794,86,1.9779946569542517e-07
1646996872.945225,87,3.5481730265018996e-07
1646996885.80027,88,1.769074202684351e-07
1646996899.769428,89,2.2655505915736285e-07
1646996913.703871,90,3.8181727290975687e-07
1646996927.699216,91,1.426736844223342e-07
1646996941.49192,92,3.4120469649678853e-07
1646996955.921183,93,2.354159107653686e-07
1646996969.899253,94,1.8450462846431037e-07
1646996983.565395,95,5.233442266217025e-07
1646996996.892522,96,1.567204890307039e-07
1646997011.214591,97,2.2888782780228212e-07
1646997025.206747,98,2.1166846408959827e-07
1646997039.032183,99,3.108693533704354e-07
1646997053.171674,100,1.9256575001236342e-07
1646997066.975098,101,2.3519274350292108e-07
1646997080.939279,102,3.3291507861576974e-07
1646997095.400643,103,3.099440561982192e-07
1646997108.945009,104,1.0250105475506643e-07
1646997122.338731,105,4.255130932051543e-07
1646997136.257914,106,4.043962675837065e-08
1646997150.335852,107,3.964842676396074e-07
1646997164.125575,108,2.8221464276612096e-07
1646997177.92447,109,1.3938884535491525e-07
1646997192.391162,110,1.6115616574552405e-07
1646997206.330638,111,1.9795614036866027e-07
1646997220.272343,112,2.223980430926531e-07
1646997234.62232,113,2.0120246801980102e-07
1646997249.111195,114,2.835070631590497e-07
1646997263.016502,115,1.4121648916898266e-07
1646997277.135405,116,2.437649015973875e-07
1646997291.144971,117,1.4671471149085846e-07
1646997304.906627,118,2.437117245790432e-07
1646997318.923084,119,2.4272787868540036e-07
1646997333.476697,120,2.904032498918241e-07
1646997347.277824,121,2.1278395934132277e-07
1646997361.739492,122,1.0972108555051818e-07
1646997375.701748,123,1.5624590332663502e-07
1646997389.684784,124,3.540721422723436e-07
1646997403.876632,125,1.1316884496181956e-07
1646997417.53786,126,3.4140578009100864e-07
1646997431.336942,127,1.9045113930360458e-08
1646997445.308999,128,2.230581088724648e-07
1646997459.619988,129,2.15189231766999e-07
1646997473.880636,130,1.2932073900628893e-07
1646997487.918486,131,1.423583029236397e-07
1646997501.95777,132,1.7248774497602426e-07
1646997516.211624,133,1.7953873054921132e-07
1646997530.192602,134,2.6755870408123883e-07
1646997544.259411,135,1.5404422981646348e-07
1646997558.491696,136,1.202008803602439e-07
1646997572.689132,137,1.5438388345501153e-07
1646997586.642354,138,1.5074679993176687e-07
1646997600.540798,139,2.122766602496995e-07
1646997614.263413,140,1.176807060687679e-07
1646997627.788335,141,2.1091281610097212e-07
1646997641.82915,142,2.1061876509520516e-07
1646997656.037436,143,2.618488395000895e-07
1646997670.190871,144,9.385372123915658e-08
1646997684.47108,145,1.8754138864096603e-07
1646997698.426848,146,1.357823435910177e-07
1646997712.239985,147,9.89369013382202e-08
1646997726.135061,148,1.962090152574092e-07
1646997740.21992,149,1.3786214481115167e-07
1646997754.115636,150,1.8857146244499745e-07
1646997767.665241,151,9.560240243899898e-08
1646997781.749612,152,2.1864474319954752e-07
1646997795.677176,153,1.8706163018578081e-07
1646997809.63279,154,9.115970556194952e-08
1646997823.456621,155,1.0871099220821634e-07
1646997837.37151,156,2.869811339678563e-07
1646997850.563037,157,1.0159457275449313e-08
1646997864.357331,158,1.7571348109868268e-07
1646997878.062325,159,1.7167511145999015e-07
1646997891.598054,160,1.1981605041455623e-07
1646997904.911901,161,1.71433413242994e-07
1646997918.198155,162,1.4419065053061786e-07
1646997930.997662,163,3.358723859037127e-07
1646997944.670385,164,4.998848890380714e-09
1646997958.567572,165,1.4219411070826027e-07
1646997972.523901,166,2.1557009688422113e-07
1646997986.701258,167,4.4602344928534876e-08
1646998000.500463,168,3.0255293381742376e-07
1646998014.694046,169,6.60398384866312e-08
1646998028.150539,170,1.5872335268340976e-07
1646998041.465468,171,9.604044493016772e-08
1646998055.205548,172,1.899597776855444e-07
1646998069.056421,173,6.841738553475807e-08
1646998082.91225,174,2.1140424166787852e-07
1646998096.880795,175,1.5391452734547784e-07
1646998110.329858,176,1.0806557071418865e-07
1646998123.797507,177,1.8462671391716867e-07
1646998136.965456,178,9.574978321325034e-08
1646998150.592965,179,1.3539933263473358e-07
1646998164.438553,180,9.494344510585506e-08
1646998178.59017,181,1.6470102082166704e-07
1646998191.838024,182,1.5116172846774134e-07
1646998205.807094,183,7.985584460357131e-08
1646998219.903984,184,1.2467903331980779e-07
1646998233.526695,185,1.3220592620655225e-07
1646998247.294053,186,4.774910422611356e-08
1646998261.334414,187,1.646350682449338e-07
1646998275.228049,188,9.77424576831254e-08
1646998289.139796,189,2.0442207926407718e-07
1646998302.998508,190,7.846941940670149e-08
1646998316.908503,191,1.9395253048060113e-07
1646998330.767938,192,9.385743027223725e-08
1646998344.727149,193,1.695667037893145e-07
1646998357.995424,194,1.2147113181981695e-07
1646998371.782305,195,7.517916600363606e-08
1646998385.822451,196,1.0790962079454403e-07
1646998399.54545,197,1.6886052378595195e-07
1646998413.56691,198,1.476240356623748e-07
1646998427.293586,199,4.093979910635426e-08
1646998440.910593,200,2.475045732808212e-07
1646998454.769509,201,1.95816127757098e-08
1646998468.582611,202,1.20089453048422e-07
1646998482.4366,203,1.0017363649694744e-07
1646998495.947073,204,1.3697319900529692e-07
1646998509.710199,205,1.0770965275241906e-07
1646998522.981114,206,1.272452720968431e-07
1646998537.072787,207,3.86007101838004e-08
1646998550.646575,208,1.4940761161597038e-07
1646998564.627622,209,1.0084507806595866e-07
1646998577.87145,210,1.119348098654882e-07
1646998591.074857,211,7.594037043645585e-08
1646998605.061674,212,9.36917814442495e-08
1646998618.63285,213,1.515557102038656e-07
1646998632.597898,214,1.8924927758234844e-07
1646998646.749893,215,6.986853406942828e-08
1646998659.89244,216,1.0099308411781749e-07
1646998673.497705,217,1.0806144956632124e-07
1646998687.061492,218,7.671165036526872e-08
1646998700.522649,219,1.2755774037032097e-07
1646998714.233221,220,1.2271603111457807e-07
1646998728.025574,221,1.3901069451094372e-07
1646998742.270518,222,4.3871491328673073e-08
1646998756.068285,223,1.1632784691073539e-07
1646998769.871414,224,1.2953958616890304e-07
1646998784.100386,225,1.102202844549538e-07
1646998797.152609,226,8.601868017876768e-08
1646998811.099719,227,8.868933321082295e-08
1646998825.019147,228,5.772792022185058e-08
1646998838.522534,229,1.519759962320677e-07
1646998851.729988,230,5.825210180887552e-08
1646998865.854445,231,1.1631783536358853e-07
1646998879.625174,232,1.0682305173759232e-07
1646998893.055932,233,3.3437128621471857e-08
1646998906.464077,234,1.6773110189660656e-07
1646998919.515129,235,1.1811502886871494e-08
1646998933.391063,236,1.0926667215471753e-07
1646998947.027206,237,1.139251821768994e-07
1646998960.670987,238,1.0968404495770301e-07
1646998974.21987,239,1.3640914175994112e-07
1646998988.183394,240,5.4508987545887067e-08
1646999001.899332,241,9.568686465399878e-08
1646999015.361779,242,5.488467635927918e-08
1646999029.212757,243,1.019862239104441e-07
1646999043.057248,244,1.5008757259238337e-07
1646999057.301426,245,1.5990661950127105e-07
1646999071.513633,246,2.473007754133505e-08
1646999085.203169,247,6.832421206581785e-08
1646999098.653176,248,9.76320677636977e-08
1646999111.743685,249,5.946812109414168e-08
1646999125.15535,250,1.0114535342609088e-07
1646999138.825456,251,5.31078221399639e-08
1646999152.068315,252,1.288109530150905e-07
1646999165.536558,253,7.292088355370652e-08
1646999179.267289,254,8.868909162629279e-08
1646999192.460073,255,6.245090133916165e-08
1646999206.382134,256,1.1361097307371892e-07
1646999220.148299,257,5.793404511678091e-08
1646999233.402301,258,4.6895873850871794e-08
1646999246.687815,259,1.315299158477501e-07
1646999259.634251,260,4.031153721939518e-08
1646999273.713874,261,8.563721820564751e-08
1646999287.382382,262,4.8812172082079996e-08
1646999300.307702,263,1.764248906965804e-07
1646999313.801875,264,6.062116586491584e-09
1646999327.624953,265,9.256336142016153e-08
1646999340.674385,266,1.0784212634007417e-07
1646999354.651236,267,6.136509256293721e-08
1646999367.573365,268,5.073607667327451e-08
1646999380.709009,269,8.005147122958078e-08
1646999393.77637,270,9.841156156653597e-08
1646999407.323277,271,1.1532610244557873e-07
1646999420.900136,272,6.35356016687183e-08
1646999433.747627,273,8.692116182373866e-08
1646999447.449702,274,8.551348429364225e-08
1646999461.081983,275,3.25330518080591e-08
