Wall time,Step,Value
1647009812.496054,0,0.0003062111500184983
1647009824.415239,1,8.793171218712814e-06
1647009836.274502,2,4.980269750376465e-06
1647009847.898552,3,4.554363840725273e-06
1647009859.501707,4,3.841825673589483e-06
1647009870.780911,5,3.7302618238754803e-06
1647009882.218849,6,3.5243836009613005e-06
1647009893.28583,7,4.103796072740806e-06
1647009904.611904,8,2.4235005184891634e-06
1647009915.669735,9,3.6562655623129103e-06
1647009926.929015,10,2.4577843760198448e-06
1647009938.168373,11,3.3258722851314815e-06
1647009949.733509,12,2.2801589238952147e-06
1647009960.773495,13,3.095974989264505e-06
1647009971.322287,14,2.913363232437405e-06
1647009981.968306,15,2.4622640921734273e-06
1647009992.961048,16,1.899087465062621e-06
1647010004.246287,17,2.186525989600341e-06
1647010015.528502,18,2.6980499114870327e-06
1647010026.730349,19,2.1493790427484782e-06
1647010037.836335,20,2.3943134692672174e-06
1647010048.925375,21,2.9417769837891683e-06
1647010060.387441,22,1.9959272776759462e-06
1647010071.30344,23,1.8758763644655119e-06
1647010082.271379,24,2.7332941954227863e-06
1647010093.2556,25,1.842789629336039e-06
1647010103.864305,26,3.3124447327281814e-06
1647010114.492291,27,1.4303875559562584e-06
1647010125.842012,28,2.760337793006329e-06
1647010136.341384,29,1.8940155541713466e-06
1647010146.904854,30,2.075690417768783e-06
1647010157.655907,31,1.775286250449426e-06
1647010167.872853,32,2.679120143511682e-06
1647010178.852583,33,1.655613345974416e-06
1647010190.105804,34,2.1137766452739015e-06
1647010200.790495,35,1.6346619986506994e-06
1647010212.064961,36,1.3035864867561031e-06
1647010223.021478,37,1.9316451016493374e-06
1647010234.201594,38,1.7434952042094665e-06
1647010245.346064,39,2.845827111741528e-06
1647010256.285419,40,1.4098328620093525e-06
1647010267.139751,41,2.3983450319065014e-06
1647010278.272091,42,1.3485821455105906e-06
1647010289.200775,43,2.1049445422249846e-06
1647010299.840764,44,2.259971324747312e-06
1647010310.693727,45,1.2356550769254682e-06
1647010321.921406,46,1.8040155964627047e-06
1647010332.80294,47,2.0543068330880487e-06
1647010343.831357,48,1.7018933249346446e-06
1647010354.469956,49,1.4622379467255087e-06
1647010365.292365,50,1.942008339028689e-06
1647010376.362739,51,1.6880485418369062e-06
1647010387.155081,52,1.2974088576811482e-06
1647010398.042948,53,1.4598803090848378e-06
1647010408.853014,54,2.5877677671815036e-06
1647010419.581038,55,1.577761963744706e-06
1647010430.07375,56,1.688466795712884e-06
1647010441.161829,57,1.3653865380547359e-06
1647010452.242647,58,2.246340727651841e-06
1647010463.043332,59,2.171989990529255e-06
1647010473.628498,60,2.103811539200251e-06
1647010484.428324,61,8.104719881885103e-07
1647010495.866592,62,2.3397774384648073e-06
1647010507.373952,63,1.2177225698906113e-06
1647010518.821747,64,2.202423729613656e-06
1647010530.105114,65,1.8647092474566307e-06
1647010541.420672,66,1.517676423645753e-06
1647010552.161829,67,1.169496954389615e-06
1647010562.655045,68,1.3096487236907706e-06
1647010573.570475,69,1.2799000614904799e-06
1647010583.776393,70,1.9660897123685572e-06
1647010594.519317,71,1.3648003687194432e-06
1647010605.061343,72,2.139384832844371e-06
1647010615.69902,73,9.506350124866003e-07
1647010626.242422,74,1.8285386431671213e-06
1647010636.964312,75,1.4091658613324398e-06
1647010648.14116,76,1.8200578324467642e-06
1647010658.276326,77,2.0500626760622254e-06
1647010669.126884,78,1.946274778674706e-06
1647010680.040891,79,1.3014322348681162e-06
1647010690.916889,80,1.2457680895749945e-06
1647010701.626726,81,1.6650180896249367e-06
1647010712.098457,82,1.5622906630596844e-06
1647010722.842873,83,1.3841521422364167e-06
1647010733.240282,84,1.7263774907405605e-06
1647010744.137315,85,1.4287348903962993e-06
1647010755.430032,86,1.3223020687291864e-06
1647010765.758188,87,1.72568343259627e-06
1647010776.41129,88,1.175947318188264e-06
1647010787.381796,89,1.54622921400005e-06
1647010797.780212,90,1.3925628081778996e-06
1647010808.703785,91,1.5566344018225209e-06
1647010819.085859,92,1.801375333343458e-06
1647010829.706335,93,1.8892449134000344e-06
1647010840.558194,94,1.099930841519381e-06
1647010851.105534,95,2.34366984841472e-06
1647010862.038192,96,1.2786529168806737e-06
1647010873.268231,97,1.1620458053585025e-06
1647010884.318036,98,1.331721932729124e-06
1647010894.77844,99,1.5813501477168757e-06
1647010905.588282,100,1.1500928849272896e-06
1647010915.60179,101,1.4149364915283513e-06
