Wall time,Step,Value
1649945345.504529,0,0.03218591958284378
1649945359.851074,1,0.0004703386512119323
1649945373.895511,2,0.0002429624873911962
1649945387.845201,3,0.00020370011043269187
1649945401.946569,4,0.000175514753209427
1649945416.253221,5,0.00016681995475664735
1649945430.140433,6,0.00015733343025203794
1649945444.84778,7,0.00014448643196374178
1649945459.411824,8,0.00013388834486249834
1649945473.478723,9,0.0001379523309879005
1649945486.785885,10,0.00013172526087146252
1649945500.42437,11,0.00013022328494116664
1649945514.559459,12,0.00013002687774132937
1649945528.330084,13,0.00012107651127735153
1649945542.066959,14,0.00012631183199118823
1649945555.325515,15,0.00011809136049123481
1649945569.042162,16,0.00011638803698588163
1649945582.89081,17,0.00011429535516072065
1649945596.892531,18,0.00011904451093869284
1649945611.067557,19,0.0001140782333095558
1649945625.459157,20,0.000116457995318342
1649945640.034772,21,0.00010644622670952231
1649945654.435229,22,0.00011223067849641666
1649945668.55823,23,0.00011118104885099456
1649945682.629979,24,0.00011058020027121529
1649945696.936756,25,0.00011062890553148463
1649945711.170564,26,0.0001077811248251237
1649945725.125471,27,0.00010340092558180913
1649945739.16246,28,0.00011295737931504846
1649945753.137772,29,0.00010363243200117722
1649945767.16333,30,0.00010320170986233279
1649945781.101927,31,0.00010903853399213403
1649945794.985117,32,9.962428157450631e-05
1649945809.189706,33,0.00010704094165703282
1649945822.97693,34,0.00010053304140456021
1649945836.870974,35,9.947054059011862e-05
1649945850.779552,36,0.00010914077574852854
1649945864.846896,37,9.726796997711062e-05
1649945878.973673,38,0.00010111716255778447
1649945892.99543,39,0.00010147342254640535
1649945906.476271,40,9.548719390295446e-05
1649945920.257053,41,9.74837748799473e-05
1649945934.103787,42,9.845000749919564e-05
1649945947.993362,43,9.520608000457287e-05
1649945961.736279,44,9.757396765053272e-05
1649945975.816792,45,9.454201062908396e-05
1649945989.851206,46,9.265283006243408e-05
1649946003.732987,47,9.734667401062325e-05
1649946017.568557,48,9.608803520677611e-05
1649946031.833322,49,9.15231867111288e-05
1649946045.901114,50,9.123647032538429e-05
1649946060.235297,51,9.491412492934614e-05
1649946074.373994,52,9.199429769068956e-05
1649946088.361613,53,9.029033390106633e-05
1649946102.628731,54,9.266708366340026e-05
1649946116.819143,55,9.473504178458825e-05
1649946130.406373,56,8.849012374412268e-05
1649946144.003468,57,8.88503054738976e-05
1649946157.905353,58,8.880444511305541e-05
1649946172.062617,59,8.913069177651778e-05
1649946186.248553,60,8.886055002221838e-05
1649946200.128893,61,8.43981106299907e-05
1649946214.484395,62,9.488395153312013e-05
1649946228.162609,63,9.006192703964189e-05
1649946242.122605,64,8.690867252880707e-05
1649946256.09649,65,8.320505730807781e-05
1649946270.437621,66,8.67568378453143e-05
1649946284.578855,67,8.485227590426803e-05
1649946298.20592,68,8.369183342438191e-05
1649946312.205577,69,9.134056745097041e-05
1649946326.420804,70,8.556811371818185e-05
1649946340.318382,71,8.783733210293576e-05
1649946354.439699,72,8.434359187958762e-05
1649946368.156616,73,8.974381489679217e-05
1649946382.6483,74,8.53818200994283e-05
1649946397.502202,75,8.717046875972301e-05
1649946411.62067,76,8.315895684063435e-05
1649946425.213601,77,8.482419070787728e-05
1649946439.141072,78,8.677232835907489e-05
1649946453.467314,79,8.249511301983148e-05
1649946467.47006,80,8.245369099313393e-05
1649946482.011345,81,8.295180305140093e-05
1649946495.817301,82,8.317457104567438e-05
1649946509.686258,83,8.422761311521754e-05
1649946523.414376,84,8.07924079708755e-05
1649946537.230306,85,8.237305883085355e-05
1649946551.522357,86,8.226202771766111e-05
1649946565.418332,87,8.273400453617796e-05
1649946579.247643,88,8.267301018349826e-05
1649946592.791156,89,8.050289034144953e-05
1649946606.693915,90,8.264742064056918e-05
1649946620.800623,91,8.079307008301839e-05
1649946635.186228,92,8.414529293077067e-05
1649946649.270851,93,7.873284630477428e-05
1649946663.414155,94,7.792087126290426e-05
1649946677.967472,95,8.174624963430688e-05
1649946692.308452,96,8.114131196634844e-05
1649946706.473653,97,7.777770224492997e-05
1649946720.814274,98,8.249470556620508e-05
1649946734.657707,99,8.087383321253583e-05
1649946748.945284,100,7.597822695970535e-05
1649946762.805547,101,8.184214675566182e-05
1649946776.490446,102,7.684122829232365e-05
1649946790.261703,103,7.742915477138013e-05
1649946804.202493,104,7.807690417394042e-05
1649946818.736958,105,7.603454287163913e-05
1649946833.036626,106,7.869246474001557e-05
1649946847.275868,107,7.864119106670842e-05
1649946861.452565,108,7.75071675889194e-05
1649946875.484595,109,7.611812907271087e-05
1649946889.89261,110,8.237870497396216e-05
1649946904.128072,111,7.817218283889815e-05
1649946917.886826,112,7.268069020938128e-05
1649946932.125059,113,7.534267933806404e-05
1649946946.086919,114,7.885534432716668e-05
1649946960.471205,115,7.473906589439139e-05
1649946974.656969,116,8.434708433924243e-05
1649946988.859025,117,7.14059715392068e-05
1649947003.197946,118,7.535328768426552e-05
1649947017.395445,119,7.81546623329632e-05
1649947031.532323,120,7.366519275819883e-05
1649947045.857734,121,7.155619096010923e-05
1649947060.096646,122,7.85592055763118e-05
1649947074.253697,123,7.434809958795086e-05
1649947088.407817,124,7.73212595959194e-05
1649947102.088042,125,7.334238762268797e-05
1649947116.235334,126,7.442980131600052e-05
1649947130.643488,127,7.679127884330228e-05
1649947144.907407,128,7.260544953169301e-05
1649947159.111998,129,7.32725893612951e-05
1649947173.388359,130,7.46967489249073e-05
1649947186.861539,131,7.19878007657826e-05
1649947200.936803,132,7.308614294743165e-05
1649947215.121764,133,7.361314783338457e-05
1649947229.482716,134,7.306214683922008e-05
1649947243.71377,135,7.251848728628829e-05
1649947257.55517,136,7.280146382981911e-05
1649947271.682801,137,7.321948214666918e-05
1649947285.521043,138,7.239820115501061e-05
1649947299.55587,139,7.331422239076346e-05
1649947313.570157,140,7.205550355138257e-05
1649947327.482269,141,7.057488983264193e-05
1649947341.773585,142,7.195580838015303e-05
1649947355.911674,143,7.14165362296626e-05
1649947370.000169,144,7.071227446431294e-05
1649947384.161067,145,7.313852984225377e-05
1649947398.126447,146,7.21445758244954e-05
1649947412.487178,147,7.288952474482358e-05
1649947426.826729,148,7.091859151842073e-05
1649947441.161758,149,7.233375799842179e-05
1649947455.00333,150,7.063678640406579e-05
1649947469.14316,151,7.074912718962878e-05
1649947483.492341,152,7.171108154579997e-05
1649947497.844985,153,7.034463487798348e-05
1649947512.271477,154,6.935974670341238e-05
1649947526.169552,155,6.962316547287628e-05
1649947540.378794,156,7.011611887719482e-05
1649947554.515353,157,6.864185706945136e-05
1649947568.725848,158,7.091763836797327e-05
1649947583.03776,159,6.951675459276885e-05
1649947597.290833,160,6.962315092096105e-05
1649947611.581584,161,6.622311047976837e-05
1649947625.516372,162,7.121849921531975e-05
1649947639.321854,163,6.852679507574067e-05
1649947653.606014,164,6.94824630045332e-05
1649947667.654043,165,6.982427294133231e-05
1649947681.667994,166,6.785446748835966e-05
1649947695.80517,167,6.922998727532104e-05
1649947709.568361,168,7.147510041249916e-05
1649947723.799749,169,6.561273767147213e-05
1649947737.740992,170,6.907394708832726e-05
1649947751.963187,171,6.684278196189553e-05
1649947766.368259,172,6.837786349933594e-05
1649947780.392752,173,6.812864012317732e-05
1649947794.642569,174,6.63175160298124e-05
1649947808.422186,175,7.013374124653637e-05
1649947822.236098,176,6.785903678974137e-05
1649947835.85886,177,6.573950668098405e-05
1649947849.481546,178,6.814062362536788e-05
1649947863.701721,179,6.700670201098546e-05
1649947877.941287,180,6.761659460607916e-05
1649947892.141381,181,6.662650412181392e-05
1649947906.248392,182,6.769187893951312e-05
1649947920.526084,183,6.559110624948516e-05
1649947934.88451,184,6.560718611581251e-05
1649947949.086875,185,6.80652738083154e-05
1649947963.361651,186,6.657368066953495e-05
1649947977.350885,187,6.64821345708333e-05
1649947991.264493,188,6.705649866489694e-05
1649948005.325402,189,6.54077302897349e-05
1649948019.254081,190,6.546486110892147e-05
1649948033.271871,191,6.643366941716522e-05
1649948047.644559,192,7.033098518149927e-05
1649948061.931527,193,6.603712245123461e-05
1649948076.017474,194,6.598466279683635e-05
1649948090.1872,195,6.53430906822905e-05
1649948104.032736,196,6.422807200578973e-05
