Wall time,Step,Value
1648207831.793926,0,0.0031992539297789335
1648207841.255796,1,3.820701749646105e-05
1648207850.815738,2,1.0342874702473637e-05
1648207860.937117,3,5.001187673769891e-06
1648207870.123356,4,5.1523152251320425e-06
1648207879.544547,5,1.5083927564774058e-06
1648207889.388524,6,5.200952273298753e-07
1648207899.044755,7,1.1737915883713868e-06
1648207908.63998,8,1.4226435496311751e-06
1648207917.895748,9,8.744204365029873e-07
1648207927.014124,10,8.361835739378876e-07
1648207936.421918,11,4.114839669000503e-07
1648207945.441993,12,1.2596733540704008e-06
1648207954.78061,13,7.310246132874454e-07
1648207963.833096,14,1.2326366913839593e-06
1648207972.86139,15,6.060038231225917e-07
1648207982.19845,16,9.636752196229281e-08
1648207992.026221,17,7.737846203781373e-07
1648208001.841997,18,1.1008673936885316e-06
1648208010.737626,19,4.878737058788829e-07
1648208019.911292,20,5.058763008491951e-07
1648208028.951001,21,3.4711800367404066e-07
1648208037.615407,22,6.326298489511828e-07
1648208046.782326,23,4.887683076049143e-07
1648208056.170557,24,8.403637821174925e-07
1648208065.719735,25,5.222340178079321e-07
1648208075.07546,26,1.252145580110664e-06
1648208084.230698,27,1.265798772465132e-07
1648208093.133605,28,5.288305260364723e-07
1648208102.73412,29,8.842401939546107e-07
1648208112.373795,30,2.579061799679039e-07
1648208121.487943,31,6.267145522542705e-07
1648208130.114584,32,1.2563117479658104e-06
1648208139.288709,33,5.142130703461589e-07
1648208148.916239,34,5.723476874663902e-07
1648208158.455289,35,5.025655127610662e-07
1648208168.333733,36,2.583127525213058e-07
1648208177.533409,37,7.069334060361143e-07
1648208186.363447,38,2.2084303452629683e-07
1648208195.756168,39,3.528654985984758e-07
1648208205.194436,40,1.2038816521453555e-06
1648208214.60823,41,2.0862437111190957e-07
1648208223.89475,42,6.609085971831519e-07
1648208232.927517,43,3.240992043629376e-07
1648208241.45107,44,1.0093887112816446e-06
1648208250.190549,45,5.120970740790654e-07
1648208259.47512,46,1.7839107613326632e-07
1648208268.747044,47,9.391893058818823e-07
1648208277.454855,48,2.784857429105614e-07
1648208286.288866,49,1.9115680061077e-07
1648208296.024823,50,6.788101813981484e-07
1648208304.887575,51,2.135091108357301e-07
1648208313.921886,52,6.445334861382435e-07
1648208322.722852,53,3.941171655696962e-07
1648208331.744635,54,1.2419045560818631e-06
1648208340.786172,55,3.5293948030812317e-07
1648208350.492595,56,4.156200930083287e-07
1648208359.459474,57,2.839407784449577e-07
1648208368.688001,58,9.75497414401616e-07
1648208378.096163,59,3.509773591758858e-07
1648208387.26041,60,4.7139695880105137e-07
1648208396.26601,61,6.411686399587779e-07
1648208404.821304,62,1.3737661674895207e-06
1648208413.475121,63,2.665605052243336e-07
1648208422.224033,64,1.5229414884743164e-07
1648208431.247521,65,1.0252044830849627e-06
1648208440.563642,66,9.81949824563344e-07
1648208449.43837,67,6.707868465127831e-07
1648208458.808075,68,5.5167816981338547e-08
1648208468.417971,69,2.8816705821554933e-07
1648208478.117934,70,4.7044935058693227e-07
1648208487.81587,71,6.567324817297049e-07
1648208497.640575,72,4.408683196288621e-07
1648208507.603351,73,7.723596695541346e-07
1648208517.036626,74,6.541578301266782e-08
1648208526.700383,75,2.3299622853301116e-07
1648208536.148134,76,3.468614409030124e-07
1648208545.793708,77,1.4649399417976383e-06
1648208555.061297,78,7.471272738257539e-07
1648208564.637825,79,9.82473551403018e-08
1648208574.587737,80,2.1358648893965437e-07
1648208584.290104,81,1.7500072999609984e-06
1648208593.552724,82,3.978837881390973e-08
1648208603.096845,83,4.1264019046138856e-07
1648208612.073588,84,9.470754207541177e-07
1648208621.214554,85,6.166683306219056e-07
1648208630.11785,86,3.99974254605695e-07
1648208638.979694,87,1.2264396787031728e-07
1648208648.395119,88,3.864488746785355e-07
1648208657.568256,89,3.245476420943305e-07
1648208666.715236,90,4.91573587169114e-07
1648208675.837453,91,1.3958620570519997e-07
1648208685.466205,92,2.8728409233735874e-06
1648208693.877018,93,2.045667173433685e-07
1648208703.394847,94,6.34816217370826e-07
1648208712.96776,95,1.0718697751599393e-07
1648208722.419047,96,5.250627737041214e-07
1648208731.618569,97,4.1079590573644964e-07
1648208741.22697,98,2.538910450766707e-07
1648208750.41048,99,3.185094499258412e-07
1648208759.259889,100,3.5108911333736614e-07
1648208768.15552,101,1.4371771328569594e-07
1648208777.897837,102,1.4030916872798116e-06
1648208787.062348,103,6.323930392682087e-07
1648208796.553376,104,9.756416119444111e-08
1648208806.437901,105,3.8673076119266625e-07
