Wall time,Step,Value
1647442780.758161,0,0.0003293646441306919
1647442795.146622,1,1.9323283595440444e-06
1647442809.516289,2,9.707771368994145e-07
1647442823.740126,3,1.0911306844718638e-06
1647442838.097327,4,1.2641469311347464e-06
1647442852.460201,5,1.961409680006909e-06
1647442867.244927,6,1.3915503132011509e-06
1647442881.253896,7,1.6205899555643555e-06
1647442895.291472,8,1.783753191375581e-06
1647442909.601792,9,1.1694485237967456e-06
1647442923.727229,10,6.63349453589035e-07
1647442937.805903,11,1.4637258800576092e-06
1647442952.379675,12,8.783323437455692e-07
1647442966.813007,13,9.936672995536355e-07
1647442981.508087,14,1.1212773642910179e-06
1647442995.442533,15,8.645115485705901e-07
1647443009.821212,16,8.400801334573771e-07
1647443024.300395,17,7.752779538350296e-07
1647443038.525538,18,9.883093525786535e-07
1647443052.331491,19,9.390095669914444e-07
1647443065.84696,20,6.935549095032911e-07
1647443080.130627,21,9.693275160316261e-07
1647443094.26328,22,6.737995477124059e-07
1647443108.333075,23,9.379685366184276e-07
1647443122.683455,24,6.246112889130018e-07
1647443136.935264,25,8.666780217936321e-07
1647443151.16408,26,7.7249711694094e-07
1647443165.994267,27,4.699794544649194e-07
1647443180.37169,28,5.364893809201021e-07
1647443194.564427,29,8.026192972465651e-07
1647443209.164475,30,5.679672199221386e-07
1647443223.553802,31,6.683123956463533e-07
1647443237.901465,32,1.673310180194676e-06
1647443252.558648,33,1.9389150907045405e-07
1647443267.777124,34,6.235391651898681e-07
1647443281.936406,35,3.4734338782982377e-07
1647443296.000333,36,6.202999429660849e-07
1647443310.371539,37,5.893119805477909e-07
1647443325.011513,38,2.53851311526887e-07
1647443339.615734,39,5.965644049865659e-07
1647443354.103722,40,3.710531757405988e-07
1647443368.606787,41,6.947519750610809e-07
1647443382.863714,42,3.6775963963009417e-07
1647443397.389703,43,5.570529992837692e-07
1647443412.125836,44,6.529247684738948e-07
1647443425.959514,45,3.899868943335605e-07
1647443440.254185,46,3.9660966422161437e-07
1647443454.588848,47,4.6968634137556364e-07
1647443468.665267,48,4.6554544042010093e-07
1647443482.658288,49,3.2349828416045057e-07
1647443497.389344,50,4.522130723216833e-07
1647443511.588744,51,3.070342984301533e-07
1647443525.772054,52,5.524189532479795e-07
1647443540.28765,53,4.757415865697112e-07
1647443554.957891,54,3.743788852261787e-07
1647443569.267981,55,4.48338255409908e-07
1647443583.644218,56,2.755657249053911e-07
1647443597.978353,57,3.5556990951590706e-07
1647443611.999299,58,3.837195379219338e-07
1647443626.189852,59,3.360942741892359e-07
1647443640.637132,60,3.401926562673907e-07
1647443655.085265,61,4.0604246009934286e-07
1647443669.572277,62,2.7601231522567105e-07
1647443683.692482,63,2.604806468298193e-07
1647443698.14942,64,3.3991676673394977e-07
1647443712.47933,65,5.155781650501012e-07
1647443726.776689,66,2.949886379610689e-07
1647443741.656617,67,2.63477687667546e-07
1647443755.295053,68,2.851702447514981e-07
1647443769.681018,69,2.315778999673057e-07
1647443784.017753,70,4.152867632001289e-07
1647443798.670514,71,2.7047408934777195e-07
1647443812.824536,72,3.991011112702836e-07
1647443827.611271,73,2.3102734303392936e-07
1647443841.565106,74,3.7922552564850776e-07
1647443855.874326,75,1.1494255147681542e-07
1647443870.719444,76,5.522334163288178e-07
1647443884.827675,77,2.1066786359824619e-07
1647443898.944437,78,3.7638662320205185e-07
1647443913.704808,79,1.9678492435559747e-07
1647443928.334647,80,3.28026857232544e-07
1647443943.045391,81,2.7502048283167824e-07
1647443957.65274,82,3.673207800147793e-07
1647443972.131738,83,1.5695523813974432e-07
1647443986.809744,84,3.776849268888327e-07
1647444001.174935,85,1.8820639979821863e-07
1647444015.133407,86,3.0196716238606314e-07
1647444029.201805,87,3.3783521757868584e-07
1647444043.769926,88,1.1517322207055258e-07
1647444058.236039,89,3.200011349235865e-07
1647444072.578988,90,2.7376805178391805e-07
1647444086.590366,91,1.3658032571584044e-07
1647444101.052963,92,4.718915818102687e-07
1647444115.195414,93,2.3799607618002483e-07
1647444129.007018,94,3.547162918948743e-07
1647444143.026813,95,3.3291556178483006e-07
1647444156.941788,96,1.0130140992714587e-07
1647444171.317469,97,2.8501332849373284e-07
1647444186.002084,98,1.5229565519803145e-07
1647444200.333389,99,1.962077078587754e-07
1647444214.401585,100,1.9053902633459074e-07
1647444229.086195,101,1.8546855073964252e-07
1647444243.003623,102,3.8948840597186063e-07
1647444257.478739,103,2.552378077780304e-07
1647444271.760958,104,1.4312759333279246e-07
1647444285.798446,105,3.1729305760563875e-07
1647444300.04168,106,9.470685569112902e-08
1647444314.326539,107,2.8701353471660696e-07
1647444328.598121,108,4.0248272625831305e-07
1647444343.120697,109,8.282997043806972e-08
1647444357.377643,110,2.2589649972815096e-07
1647444372.279554,111,1.5803264830083208e-07
1647444385.974263,112,1.9410747142956097e-07
1647444399.945934,113,2.0128669575569802e-07
1647444414.560091,114,2.2182523196079273e-07
1647444428.493218,115,1.2930055959259334e-07
1647444443.105143,116,1.4710526841099636e-07
1647444457.887733,117,2.455415710755915e-07
1647444472.369004,118,1.7558173226461804e-07
1647444486.785841,119,1.8114401711954997e-07
1647444500.853539,120,2.0141440870702354e-07
1647444515.11699,121,1.8660837497463945e-07
1647444529.035437,122,2.0232474184922467e-07
1647444543.48013,123,1.225112384872773e-07
1647444558.052424,124,3.2732467047935643e-07
1647444572.367909,125,1.0950879669735514e-07
1647444586.679218,126,2.192810342194207e-07
1647444601.272687,127,9.130837952397997e-08
1647444616.005653,128,1.9641144888282724e-07
1647444630.430736,129,2.0425179059202492e-07
1647444644.982101,130,1.6858631113336742e-07
1647444659.585372,131,2.3076023580870242e-07
1647444673.690683,132,6.916522465871822e-08
1647444688.362891,133,1.7344592606605147e-07
1647444702.774937,134,2.050165335276688e-07
1647444716.95775,135,1.424628948143436e-07
1647444731.146991,136,1.7592147116829437e-07
1647444745.439823,137,2.1065294220079522e-07
1647444760.267565,138,1.1062450511190036e-07
1647444774.454661,139,2.681610737909068e-07
1647444788.667276,140,8.748494906285487e-08
1647444803.525644,141,1.8772188070670381e-07
1647444818.200447,142,2.0551070178953523e-07
1647444832.440487,143,1.0142097295329222e-07
1647444846.939293,144,1.729492851154646e-07
1647444861.403003,145,1.9815367124920158e-07
1647444876.05043,146,1.6932519031342963e-07
1647444890.502623,147,1.0982404319292982e-07
1647444905.196486,148,1.5643513506802265e-07
1647444919.581861,149,7.916510469385685e-08
1647444933.894122,150,2.427894401080266e-07
1647444948.506796,151,7.437866145210137e-08
1647444962.678974,152,1.6815269532344246e-07
1647444976.973485,153,2.0094384467483906e-07
1647444991.457944,154,1.432197080930564e-07
1647445005.712683,155,1.071346460435052e-07
1647445019.938535,156,2.569503578797594e-07
1647445034.103344,157,3.621982003210178e-08
1647445048.413302,158,1.7081137571040017e-07
1647445062.951912,159,1.7415354136574024e-07
1647445077.618638,160,1.445775126285298e-07
1647445091.958397,161,2.2664096377411624e-07
1647445106.141125,162,8.134225026878994e-08
1647445120.885102,163,1.2299382490255084e-07
1647445135.49194,164,1.0993137777859374e-07
1647445149.627856,165,1.320585454323009e-07
1647445163.38539,166,1.5364010153007257e-07
1647445177.557418,167,6.215003622855875e-08
1647445192.039181,168,2.1579936060334148e-07
1647445206.931243,169,1.1851892622871674e-07
1647445221.69711,170,3.1002190326034906e-07
1647445236.04462,171,3.655284430692518e-08
1647445250.620408,172,1.4055063957130187e-07
1647445264.795545,173,1.2010323757749575e-07
1647445279.368291,174,1.2251624070813705e-07
1647445293.428619,175,1.4766202127702854e-07
1647445308.048778,176,1.3227176509644778e-07
1647445322.839581,177,1.236339386423424e-07
1647445337.417865,178,1.1028382118638547e-07
1647445351.743887,179,1.6361083510219032e-07
1647445366.303951,180,1.0153445373362047e-07
1647445380.973148,181,2.0317037296990748e-07
1647445395.480547,182,1.587629299137916e-07
1647445410.101282,183,8.517198324398123e-08
1647445424.258047,184,1.7292408927005454e-07
1647445438.648939,185,7.628510445556458e-08
1647445453.172662,186,1.0614481027459988e-07
1647445468.072272,187,1.0461904054182014e-07
1647445482.655356,188,1.3450798519443197e-07
1647445497.279658,189,1.1343115602358012e-07
1647445511.836164,190,1.0720556531396142e-07
1647445526.964107,191,8.546977170453829e-08
1647445541.311829,192,1.3141931276550167e-07
1647445555.073578,193,1.282739106045483e-07
1647445569.098251,194,1.4779234902562166e-07
1647445583.481267,195,8.020802511055081e-08
1647445598.268304,196,9.566240066760656e-08
1647445612.65515,197,1.2929997694755002e-07
1647445626.835128,198,1.3161029244201927e-07
1647445641.576633,199,9.614291940351904e-08
1647445656.029014,200,2.555649132318649e-07
1647445670.665521,201,2.1641431757757346e-08
1647445684.62709,202,2.2061699667119683e-07
1647445698.884019,203,2.4525983022272158e-08
1647445713.307997,204,1.1025539947695506e-07
1647445728.007492,205,1.9370564530163392e-07
1647445742.80012,206,7.502515586566005e-08
1647445757.06507,207,6.421439024961728e-08
1647445771.362493,208,1.3057083947387582e-07
1647445785.748773,209,1.0247268278362753e-07
1647445800.602368,210,1.2079954103683122e-07
1647445815.312444,211,1.3175154833788838e-07
1647445829.378596,212,4.216906646092866e-08
1647445843.98208,213,1.1289113643897508e-07
1647445858.751639,214,2.060974537698712e-07
1647445873.590092,215,4.535902675684156e-08
1647445888.197374,216,1.1013810308213579e-07
1647445903.145676,217,6.014672493392936e-08
1647445918.039364,218,1.2249827818777703e-07
1647445933.025895,219,8.581616128822134e-08
1647445947.829,220,8.578395238600933e-08
1647445962.817399,221,1.6237774502769753e-07
1647445977.882406,222,7.944503721546425e-08
1647445992.644621,223,4.4543494226445546e-08
1647446007.500454,224,1.496960209124154e-07
1647446022.241272,225,1.3234355833446898e-07
1647446037.124911,226,5.740028541367792e-08
1647446051.775858,227,6.054052192894233e-08
1647446066.679832,228,8.006421126083296e-08
1647446081.687783,229,1.034706897939941e-07
1647446096.508024,230,1.131509392848784e-07
1647446111.631188,231,1.480128162256733e-07
1647446126.209362,232,2.8599044910038174e-08
1647446140.682674,233,9.423748537074061e-08
1647446155.162818,234,8.16088174815377e-08
1647446169.796693,235,6.066643010171902e-08
1647446184.154708,236,1.1747443551257675e-07
1647446198.672795,237,9.061182026925962e-08
1647446212.822147,238,1.671927947199947e-07
1647446227.081403,239,6.965009902160091e-08
1647446241.59001,240,2.292510892232258e-08
1647446256.008729,241,1.0436458097728973e-07
1647446270.626992,242,5.6310202722897884e-08
1647446284.798659,243,2.4398190134888864e-07
1647446299.23735,244,3.968551354205374e-08
1647446313.591472,245,8.120431260749683e-08
1647446327.698702,246,7.299146176364957e-08
1647446342.33165,247,6.652210515767365e-08
1647446356.439445,248,7.920886702095231e-08
1647446370.396696,249,6.882159908627727e-08
1647446384.710669,250,7.961556747204668e-08
1647446398.867972,251,1.280651673596367e-07
1647446413.278497,252,5.525862079025501e-08
1647446427.727363,253,7.099966836676685e-08
1647446442.131907,254,9.54190113588993e-08
1647446456.427466,255,6.639353955506522e-08
1647446470.958477,256,7.930135126343885e-08
1647446485.893164,257,8.066316325994194e-08
1647446500.52353,258,7.151322023446482e-08
1647446515.240598,259,8.697544728875073e-08
1647446529.801181,260,7.631626175452766e-08
1647446544.29342,261,9.433552605742079e-08
1647446558.999454,262,8.733666589932909e-08
1647446573.5843,263,4.906624795353309e-08
1647446588.233579,264,1.28809929833551e-07
1647446602.510227,265,2.230898310529028e-08
1647446616.921314,266,1.356338970026627e-07
1647446631.184729,267,3.103818357885757e-08
1647446645.999148,268,5.683294190816923e-08
1647446660.847631,269,1.2734672338865494e-07
1647446675.189342,270,6.450440537264512e-08
1647446689.622306,271,1.4609602771997743e-07
1647446704.156221,272,1.2735928578422318e-07
1647446718.709385,273,1.053440357168256e-08
1647446732.84713,274,9.389571431484e-08
1647446746.850265,275,2.665906073673341e-08
1647446761.5299,276,1.1165771240939648e-07
1647446776.295006,277,6.953798248332532e-08
1647446791.054956,278,7.952469616157032e-08
1647446805.505112,279,4.6979273804481636e-08
1647446820.126877,280,1.394044204516831e-07
1647446834.300524,281,5.929541302407415e-08
1647446849.246967,282,4.029607580946504e-08
1647446863.742606,283,9.041701787282364e-08
1647446878.061772,284,4.737878356309011e-08
1647446892.764302,285,7.487478370649114e-08
1647446907.171552,286,4.95706942160723e-08
1647446921.874213,287,3.639192769355759e-08
1647446936.320005,288,8.090191983001205e-08
1647446950.855752,289,6.201762658974985e-08
1647446964.980627,290,6.352598092007611e-08
1647446979.582767,291,1.4600124131902703e-07
1647446994.29324,292,3.211705035255363e-08
1647447008.998728,293,4.663738195631595e-08
1647447023.469804,294,1.868690588935351e-07
1647447037.675652,295,2.45144207156045e-08
1647447051.735622,296,9.723090954594227e-08
