Wall time,Step,Value
1647457438.865,0,0.0004163708072155714
1647457450.803381,1,8.582856935390737e-06
1647457463.125427,2,3.9597157410753425e-06
1647457475.583417,3,3.423759380893898e-06
1647457487.392429,4,3.882374585373327e-06
1647457498.137899,5,3.4083909667970147e-06
1647457509.27568,6,3.578323685360374e-06
1647457520.063755,7,3.28965438711748e-06
1647457531.605957,8,2.988842652484891e-06
1647457542.779174,9,3.1993581615097355e-06
1647457554.044605,10,2.690514293135493e-06
1647457565.763377,11,2.5897059003909817e-06
1647457577.372699,12,2.207900934081408e-06
1647457588.320151,13,2.414637947367737e-06
1647457599.853168,14,3.5953516999143176e-06
1647457611.800349,15,2.3452371351595502e-06
1647457622.907075,16,1.7925817701325286e-06
1647457634.084098,17,2.3924753804749344e-06
1647457645.126733,18,2.4662363102834206e-06
1647457656.430712,19,2.75543925454258e-06
1647457667.563009,20,1.7318582195002818e-06
1647457679.037332,21,2.3782265543559333e-06
1647457690.457871,22,1.9008678009413416e-06
1647457702.756019,23,2.502072447896353e-06
1647457714.978633,24,2.41088696384395e-06
1647457727.04461,25,1.7187920775540988e-06
1647457738.633571,26,2.533613042032812e-06
1647457750.551062,27,1.6189467260119272e-06
1647457762.565197,28,2.4905884856707416e-06
1647457774.951196,29,2.284795982632204e-06
1647457787.026608,30,2.1405758161563426e-06
1647457799.016265,31,1.7217653294210322e-06
1647457811.065812,32,2.49325012191548e-06
1647457823.572017,33,1.6775677522673504e-06
1647457835.748706,34,2.3769175641064066e-06
1647457847.983215,35,2.1841526631760644e-06
1647457860.044263,36,1.3964834124635672e-06
1647457872.130433,37,2.7116875571664423e-06
1647457883.907933,38,1.696814138085756e-06
1647457894.982169,39,1.964323473657714e-06
1647457906.195517,40,1.7115921764343511e-06
1647457917.768437,41,2.2409078610508004e-06
1647457929.207856,42,1.701494966255268e-06
1647457940.295359,43,1.7890463368530618e-06
1647457951.962731,44,2.4712785489100497e-06
1647457963.274991,45,1.4957037137719453e-06
1647457974.811539,46,1.5415253074024804e-06
1647457986.601913,47,1.749396915329271e-06
1647457997.832535,48,2.2880285541759804e-06
1647458008.988172,49,1.711507707113924e-06
1647458020.132232,50,1.5033027693789336e-06
1647458031.386856,51,1.496194727224065e-06
1647458042.932444,52,2.4287894575536484e-06
1647458054.645424,53,1.3488329386746045e-06
1647458066.521257,54,1.8139642179448856e-06
1647458077.993488,55,1.3344598528419738e-06
1647458089.069567,56,1.8291209471499315e-06
1647458100.224484,57,1.428385417057143e-06
1647458111.991559,58,1.6853715578690753e-06
1647458123.327049,59,1.8608116079121828e-06
1647458134.278737,60,1.6926097714531352e-06
1647458145.265916,61,1.3187401464165305e-06
1647458156.36907,62,1.7429115359846037e-06
1647458167.67442,63,1.0546067414907156e-06
1647458178.789814,64,2.1885664409637684e-06
1647458190.023812,65,1.7230593130079797e-06
1647458201.337786,66,2.0262095858925022e-06
1647458212.729627,67,1.2226695389472297e-06
1647458223.954278,68,9.70671521827171e-07
1647458235.313442,69,1.2602575907294522e-06
1647458246.315847,70,1.914103677336243e-06
1647458257.218339,71,2.1299292711773887e-06
1647458268.987437,72,1.4562810974894091e-06
1647458280.641206,73,1.0584737992758164e-06
1647458292.00576,74,1.8411902829029714e-06
1647458303.345875,75,1.1720221664290875e-06
1647458314.131973,76,1.8209761947218794e-06
1647458325.240262,77,1.743776351759152e-06
1647458336.723925,78,1.6560510402996442e-06
1647458348.349905,79,1.4276265574153513e-06
1647458360.032303,80,1.3486479701896315e-06
1647458370.973759,81,1.486334326727956e-06
1647458381.973662,82,1.370852260151878e-06
1647458393.236523,83,1.572033625052427e-06
1647458404.842497,84,1.647239514568355e-06
1647458416.103294,85,1.2918497986902366e-06
1647458427.406943,86,1.7020922769006575e-06
1647458438.564579,87,1.3443313946481794e-06
1647458449.782875,88,1.5752182207506848e-06
1647458461.441125,89,1.14871568257513e-06
1647458472.705541,90,1.281298750654969e-06
1647458484.002427,91,1.6962421796051785e-06
1647458495.464356,92,1.8765293816613848e-06
1647458506.617113,93,1.317267333433847e-06
1647458518.110794,94,1.738736500556115e-06
1647458529.301061,95,1.7149095583590679e-06
1647458540.84579,96,1.3028655985181103e-06
1647458552.416562,97,1.5874841210461454e-06
1647458563.465251,98,1.1235407555432175e-06
1647458574.400829,99,1.180135313916253e-06
1647458586.004394,100,1.2611955071406555e-06
1647458597.78273,101,1.4624029063270427e-06
1647458609.539595,102,2.3150334982346976e-06
1647458621.0395,103,1.0729063433245756e-06
1647458632.167787,104,1.4540698884957237e-06
1647458643.298946,105,1.5137686659727478e-06
1647458655.029354,106,1.2515265552792698e-06
1647458666.332983,107,1.6064772125901072e-06
1647458677.614587,108,1.2596350416060886e-06
1647458688.832423,109,1.4640108929597773e-06
1647458700.228592,110,1.3963775700176484e-06
1647458711.896524,111,1.306510966969654e-06
1647458723.268889,112,1.045915382746898e-06
1647458734.641418,113,1.508816126261081e-06
1647458746.125944,114,1.5494426861550892e-06
1647458757.682265,115,1.1687731102938415e-06
1647458769.080456,116,1.0839657988981344e-06
1647458780.465882,117,1.2852038935307064e-06
1647458791.885936,118,1.470277652515506e-06
1647458803.451614,119,1.6554068906771136e-06
1647458814.889721,120,1.2792446568710147e-06
1647458826.583921,121,1.317315877713554e-06
1647458838.470095,122,9.670005738371401e-07
1647458849.711376,123,1.1278349347776384e-06
