Wall time,Step,Value
1646401140.743728,0,0.022064441815018654
1646401157.537769,1,0.003115141997113824
1646401174.484105,2,0.00026577155222184956
1646401191.690917,3,0.00021963199833407998
1646401208.612576,4,0.00022233201889321208
1646401225.941055,5,0.00016236657393164933
1646401242.689923,6,0.0001223959552589804
1646401259.315418,7,0.00010464208025950938
1646401275.570125,8,5.879516538698226e-05
1646401291.864679,9,3.905957055394538e-05
1646401307.994713,10,2.894739191106055e-05
1646401324.405114,11,2.0262808902771212e-05
1646401341.054368,12,1.532981696072966e-05
1646401357.356104,13,9.10936068976298e-06
1646401373.79807,14,9.007485459733289e-06
1646401390.205852,15,6.8822282628389075e-06
1646401406.410481,16,8.055018952290993e-06
1646401422.869966,17,7.823586201993749e-06
1646401438.914591,18,5.8205664572597016e-06
1646401455.374532,19,5.263334060146008e-06
1646401471.667436,20,6.490932264568983e-06
1646401488.011008,21,5.080093615106307e-06
1646401504.584286,22,5.434604190668324e-06
1646401520.982053,23,5.297003099258291e-06
1646401537.173412,24,5.6572553148726e-06
1646401553.710827,25,5.563077138504013e-06
1646401569.976528,26,5.7586444199841935e-06
1646401586.109298,27,5.408302968135104e-06
1646401602.605753,28,3.926963017875096e-06
1646401619.087611,29,5.117854016134515e-06
1646401635.736229,30,4.579136657412164e-06
1646401652.082027,31,3.864223344862694e-06
1646401668.49665,32,3.49572519553476e-06
1646401684.717209,33,3.2102880140882917e-06
1646401701.248215,34,3.5577593280322617e-06
1646401717.425611,35,6.023765308782458e-06
1646401733.728783,36,3.7661918668163707e-06
1646401749.907278,37,3.272474941695691e-06
1646401766.463728,38,4.264918970875442e-06
1646401782.692417,39,3.007439090652042e-06
1646401799.134881,40,4.080688086105511e-06
1646401815.882942,41,2.882311036955798e-06
1646401832.349438,42,3.3396372600691393e-06
1646401848.788337,43,2.8227361781318905e-06
1646401865.174592,44,2.9089765121170785e-06
1646401881.549627,45,3.2892849048948847e-06
1646401898.084814,46,1.5466258673768607e-06
1646401914.452584,47,2.023495653702412e-06
1646401930.892585,48,3.853634552797303e-06
1646401946.990489,49,2.086461790895555e-06
1646401963.283957,50,1.700262941994879e-06
1646401979.498371,51,1.6129772575368406e-06
1646401996.107001,52,2.6830575734493323e-06
1646402012.477391,53,1.529385485810053e-06
1646402028.688361,54,2.2820702270109905e-06
1646402044.854824,55,1.5052502249091049e-06
1646402061.068597,56,1.0752243042588816e-06
1646402077.647077,57,1.8786334976539365e-06
1646402093.737571,58,1.2802420314983465e-06
1646402109.658827,59,1.2747751725328271e-06
1646402126.007496,60,1.2249580549905659e-06
1646402142.108147,61,1.274429337172478e-06
1646402158.399583,62,1.690427893663582e-06
1646402175.203879,63,1.5714658729848452e-06
1646402191.543269,64,1.2477548807510175e-06
1646402208.099382,65,1.0192692343480303e-06
1646402224.394826,66,1.0910026730925892e-06
1646402241.163356,67,7.185583399405004e-07
1646402257.767177,68,1.3180896303310874e-06
1646402274.396139,69,1.0552972753430367e-06
1646402290.927524,70,7.934925179142738e-07
1646402307.430881,71,1.1657641607598634e-06
1646402323.870003,72,1.7311617739323992e-06
1646402340.275633,73,7.542372486568638e-07
1646402357.113095,74,5.313750648383575e-07
1646402373.463718,75,6.164585784063092e-07
1646402390.138402,76,9.328995815849339e-07
1646402406.608979,77,1.0048823924080352e-06
1646402423.219495,78,8.445635444331856e-07
1646402439.522119,79,1.319450916525966e-06
1646402455.797893,80,4.355723035587289e-07
1646402472.380022,81,3.819769744950463e-07
1646402488.817895,82,4.030717946079676e-07
1646402505.453271,83,3.407957649415039e-07
1646402522.087014,84,3.4904181234196585e-07
1646402538.806685,85,4.433389335645188e-07
1646402555.169976,86,4.255527130681003e-07
1646402571.955185,87,4.382720248941041e-07
1646402588.372278,88,5.318464673109702e-07
1646402605.101322,89,5.397835138865048e-07
1646402621.340845,90,6.68680456783477e-07
1646402637.908267,91,7.84632163686183e-07
1646402654.326861,92,6.598908157684491e-07
1646402670.706526,93,4.735505001463025e-07
1646402687.051729,94,3.287035781340819e-07
1646402703.137377,95,2.9045750693512673e-07
1646402719.269453,96,2.2163241908401687e-07
1646402735.772209,97,3.7798261587340676e-07
1646402752.067818,98,3.371493164650019e-07
1646402768.388098,99,3.6461057106862427e-07
1646402785.10622,100,5.571994279307546e-07
1646402801.77828,101,3.340421983466513e-07
1646402818.484942,102,2.8658649853241513e-07
1646402835.450391,103,3.513335400384676e-07
1646402851.852325,104,2.845122537564748e-07
1646402868.458538,105,4.382507086120313e-07
1646402884.916198,106,1.5595237812249252e-07
1646402901.421265,107,2.2116967102192575e-07
1646402917.837423,108,1.7965692222787766e-07
1646402934.277371,109,4.1095933056567446e-07
1646402950.614108,110,1.9319651300975238e-07
1646402966.865995,111,2.2501049556922226e-07
1646402983.193786,112,1.144562418176065e-07
1646402999.675424,113,3.315289234251395e-07
1646403015.958606,114,1.471928925411703e-07
1646403032.451965,115,2.763683539797057e-07
1646403048.81547,116,1.653059769068932e-07
1646403065.183351,117,1.4129511782812187e-07
1646403081.490907,118,1.197875008074334e-07
1646403097.729972,119,1.4888786381561658e-07
1646403114.062454,120,1.2810774308036343e-07
1646403130.533049,121,2.339236857551441e-07
1646403146.916679,122,1.512084395471902e-07
1646403163.377728,123,1.0021952334682283e-07
1646403179.609214,124,4.696289863659331e-07
1646403195.938643,125,1.2503490154358587e-07
1646403212.295416,126,1.8169075133300794e-07
1646403228.745147,127,2.5666307124083687e-07
1646403245.206895,128,9.749711438189479e-08
1646403261.84287,129,1.2283052797101845e-07
1646403278.610686,130,8.526151873411436e-08
1646403294.896933,131,1.0651628201685526e-07
1646403311.44281,132,1.7102647120736947e-07
1646403328.008148,133,1.1811316369403357e-07
1646403345.193578,134,1.3925794917213352e-07
1646403361.768549,135,9.499457576112036e-08
1646403378.228779,136,2.120629858382017e-07
1646403394.706438,137,9.652936228121689e-08
1646403411.081355,138,2.1695846896818693e-07
1646403428.01899,139,1.0392790272817365e-07
1646403444.745255,140,2.724663090702961e-07
1646403461.296112,141,4.770458517100451e-08
1646403477.745307,142,8.161675424389614e-08
1646403494.065851,143,7.615773967017958e-08
1646403510.634615,144,1.5640858919141465e-07
1646403527.63605,145,3.179967222877167e-07
1646403543.960985,146,2.1688940421427105e-07
1646403560.600313,147,1.0861530341799153e-07
1646403577.033163,148,6.668479102245328e-08
1646403593.955119,149,6.982511280284598e-08
1646403610.36706,150,9.470175399428626e-08
1646403626.708228,151,6.371755603140627e-07
1646403643.109754,152,6.80031106981005e-08
1646403659.540356,153,4.3611436240098556e-08
1646403676.011133,154,1.321978402302193e-07
1646403692.609012,155,1.1066097016509957e-07
1646403709.266597,156,1.8921113564829284e-07
1646403725.739963,157,9.088421393244062e-08
1646403741.980523,158,1.5858081781061628e-07
1646403758.374941,159,1.0361532787328542e-07
1646403774.653488,160,1.0203083888882247e-07
1646403790.846828,161,5.7409689446785706e-08
1646403807.168146,162,3.2288625106957625e-08
1646403823.356518,163,1.2898649970338738e-07
1646403839.749079,164,3.449991936577135e-07
1646403856.216053,165,1.0058513311150818e-07
1646403872.984718,166,4.6633786610073e-08
1646403889.928341,167,1.0021261687143124e-07
1646403906.314,168,4.3247222691888965e-08
1646403922.974328,169,2.324838135336904e-07
1646403939.802375,170,4.248478191470895e-08
1646403956.108177,171,5.01839707567342e-08
1646403972.565963,172,1.3903537876558403e-07
1646403988.682941,173,5.3693891999273546e-08
1646404004.784484,174,6.95942787842796e-08
1646404021.065867,175,2.7899400123487794e-08
1646404037.765408,176,7.475583174709755e-08
1646404054.136377,177,4.454034296941245e-08
1646404070.459982,178,9.579321158526e-08
1646404086.743799,179,4.857089663801162e-08
1646404103.313511,180,1.0320471943714438e-07
1646404119.640153,181,1.6852025908065116e-07
1646404136.061602,182,8.919717231492541e-08
1646404152.796244,183,1.1383332321202033e-07
1646404169.262204,184,3.0295339570329816e-08
1646404185.858276,185,6.110192174446638e-08
1646404202.633391,186,2.3379899971587292e-07
1646404219.378989,187,7.59214913159667e-08
1646404235.98442,188,6.394150631194861e-08
1646404252.377054,189,3.420678140741984e-08
1646404268.841174,190,3.140455717698387e-08
1646404285.06103,191,1.4671621784145827e-07
1646404301.431137,192,6.41162500869541e-08
1646404317.815568,193,6.435433874685259e-08
1646404334.102912,194,5.0963240738610693e-08
1646404350.501205,195,1.2701218565780437e-07
1646404366.965886,196,3.7764263538520026e-07
1646404383.269936,197,3.3952281341953494e-07
1646404399.703866,198,7.841181570711342e-08
1646404416.153146,199,3.63591965424348e-08
1646404432.398755,200,9.351676766300443e-08
1646404448.565299,201,1.1379560760360619e-07
1646404465.58748,202,5.924496804254886e-08
1646404482.685761,203,4.463630887130421e-08
1646404499.732892,204,1.91601941423869e-07
1646404516.34082,205,3.4750527788673935e-08
1646404533.080947,206,7.671620494420495e-08
1646404549.517789,207,9.31075305743434e-08
1646404566.031529,208,4.018158605845201e-08
1646404582.534303,209,2.59306261796155e-07
1646404598.887232,210,7.268616997180288e-08
1646404615.604369,211,7.648782229807694e-08
1646404632.234644,212,2.9561876502270934e-08
1646404649.120919,213,3.659255654042681e-08
1646404665.952018,214,5.0163812659320683e-08
1646404682.669129,215,6.394034102186197e-08
1646404699.419007,216,8.36570208662124e-08
1646404715.44411,217,1.0112990622701545e-07
1646404731.617915,218,9.422086577615119e-08
1646404748.248155,219,5.165468763834724e-08
1646404764.333864,220,8.352876079698035e-08
1646404780.646237,221,3.153227012830939e-08
1646404796.965478,222,8.733975676022965e-08
1646404813.463617,223,3.2076762579436036e-08
1646404829.862036,224,4.0999441353051225e-07
1646404846.51938,225,1.7766562621090998e-07
1646404863.348112,226,6.537144514595639e-08
1646404879.947315,227,2.414987854137962e-08
1646404896.549761,228,7.498847764964012e-08
1646404913.232545,229,1.7575062827290822e-07
1646404929.812307,230,4.812196152670367e-08
1646404946.418392,231,2.0638370301639952e-07
1646404963.010463,232,3.461441266949805e-08
1646404979.251356,233,1.2782919611709076e-07
1646404996.012261,234,8.497706716070752e-08
1646405012.171736,235,3.483954813532364e-08
1646405028.369175,236,4.7795435165198796e-08
1646405044.734893,237,3.275267346225519e-08
1646405060.811854,238,1.0168392350351496e-07
1646405077.266349,239,4.3385721681943323e-08
1646405093.557959,240,1.4707639195421507e-07
1646405109.798141,241,4.531394637297126e-08
1646405126.150475,242,5.411493830820291e-08
1646405142.532546,243,3.5049467328462924e-08
1646405159.084665,244,3.003241033638915e-08
1646405175.451505,245,2.7317575757024315e-08
1646405192.250562,246,9.522108257442596e-08
1646405209.303704,247,6.614902758883545e-08
1646405225.560282,248,1.025716471758642e-07
1646405242.051425,249,5.344798736928169e-08
1646405258.558912,250,3.1377091147533065e-08
1646405275.196333,251,5.1496272135409527e-08
1646405291.831031,252,3.019676242388414e-08
1646405308.365185,253,2.8047196565239574e-07
1646405325.061387,254,1.193486269812638e-07
1646405341.718556,255,6.230249738337079e-08
1646405357.873086,256,2.6752627491077874e-07
1646405374.170109,257,3.782336222002414e-08
1646405390.999208,258,1.1277632694373096e-07
1646405407.810123,259,2.6833171773432696e-07
1646405424.288021,260,1.7351030123791134e-07
1646405440.68708,261,7.849400418535879e-08
1646405457.15281,262,2.7435063998382248e-08
1646405473.748857,263,5.552086435045567e-08
1646405490.986801,264,1.0570352060312871e-07
1646405507.65241,265,1.8749052799194033e-07
1646405524.397742,266,6.456575363245065e-08
1646405540.648919,267,8.031129539176618e-08
1646405557.529367,268,1.9271212181593e-08
1646405573.972371,269,6.126279004092794e-07
1646405590.791136,270,1.495370014481523e-07
1646405607.187083,271,3.288794303557552e-08
1646405624.049131,272,2.6339435521549603e-08
1646405640.754134,273,2.8080632930027605e-08
1646405657.160149,274,4.7386201629251445e-08
1646405673.483329,275,4.162942701668726e-08
1646405689.701844,276,4.5955754757187606e-08
1646405705.895556,277,8.420750674531519e-08
1646405722.046741,278,2.375569607693251e-08
1646405738.482997,279,4.5192908970648205e-08
1646405754.637026,280,1.7229703885845993e-08
1646405771.120424,281,3.981865148716679e-08
1646405787.322396,282,4.629981020798368e-08
1646405803.656811,283,2.7417650372285607e-08
1646405819.919334,284,3.00529983121578e-08
1646405836.090566,285,4.4231200035937945e-08
1646405852.415866,286,2.81487650966028e-08
1646405869.003719,287,3.4189170605714025e-08
1646405885.390871,288,4.646212303782704e-08
1646405901.871968,289,5.671963521081125e-08
1646405918.140651,290,6.116517425880375e-08
1646405934.314465,291,3.097165901522203e-08
1646405950.618421,292,5.071169795201058e-08
1646405967.202863,293,2.9861180195212e-08
1646405983.851015,294,8.504312631885114e-08
1646406000.354572,295,9.491963481877974e-08
1646406016.761825,296,9.143922596877019e-08
1646406032.947918,297,5.447070705599799e-08
1646406049.150577,298,3.1839640257658175e-08
1646406065.479151,299,1.8388751854558905e-08
1646406081.714352,300,2.0373125408923443e-08
1646406098.556609,301,1.6440195338418562e-07
1646406115.193681,302,2.926680053860764e-08
1646406131.704453,303,3.652320756941663e-08
1646406147.881963,304,1.0111219239661295e-07
1646406165.001429,305,6.061142698854383e-08
1646406181.798379,306,4.774759432280007e-08
1646406198.437196,307,9.637154363417721e-08
1646406214.817268,308,3.6717509033223905e-08
1646406231.229168,309,2.843310475952876e-08
1646406247.504508,310,4.325757885226267e-08
1646406263.822658,311,1.7435488075534522e-07
1646406280.099483,312,1.155710833700141e-07
1646406296.374625,313,6.135149277497476e-08
1646406312.646576,314,1.7728234524838626e-07
1646406329.196468,315,1.210358391290356e-07
1646406345.70331,316,6.694077114843822e-08
1646406361.994082,317,2.6945276232481774e-08
1646406378.669839,318,6.098136395848996e-08
1646406395.265333,319,5.0496481662776205e-08
1646406411.569681,320,4.901367844922788e-08
1646406428.008818,321,3.046684682317391e-08
1646406444.419685,322,6.639943705977203e-08
1646406460.716219,323,1.5604364023147355e-07
1646406476.957157,324,8.575298693358491e-08
1646406493.252302,325,4.140417786402395e-08
1646406509.645799,326,3.2961814611098816e-08
1646406526.360572,327,2.7656190582092677e-07
1646406542.667167,328,8.388406769199719e-08
1646406559.035757,329,3.147143345927361e-08
1646406575.708901,330,1.6029794380756357e-08
1646406592.302102,331,2.6630839755625857e-08
1646406608.672298,332,6.511774586215324e-08
1646406625.19397,333,2.340957294677537e-08
1646406641.28008,334,6.990086376390536e-08
1646406657.39459,335,4.2170800185203916e-08
1646406673.661095,336,5.2932882965706085e-08
1646406689.998143,337,2.2598752025260183e-07
1646406706.342866,338,1.8326588246964093e-08
1646406722.82461,339,1.8059841622175554e-08
1646406739.131541,340,2.7597566898407422e-08
1646406755.415567,341,3.329596154344472e-08
1646406771.732787,342,5.229652444427302e-08
