Wall time,Step,Value
1646408797.557325,0,0.009222723543643951
1646408814.130287,1,0.001937749795615673
1646408830.542585,2,0.0016961295623332262
1646408846.668061,3,0.001328569371253252
1646408863.136606,4,0.0010881037451326847
1646408879.927986,5,0.0007566504064016044
1646408896.633664,6,0.0006070483941584826
1646408912.983729,7,0.0005116136744618416
1646408929.205836,8,0.00037398585118353367
1646408945.639931,9,0.0002889163151849061
1646408961.842063,10,0.0002400634257355705
1646408977.994232,11,0.00017193246458191425
1646408994.351633,12,0.0001474553282605484
1646409010.770592,13,0.00012796121882274747
1646409027.068889,14,0.00011939652176806703
1646409043.054074,15,0.0001131327444454655
1646409058.930424,16,9.671990846982226e-05
1646409075.048834,17,8.542092837160453e-05
1646409090.997867,18,8.288826211355627e-05
1646409106.987751,19,7.912552246125415e-05
1646409122.852976,20,6.904020119691268e-05
1646409139.374254,21,6.825260061305016e-05
1646409155.410899,22,5.840465018991381e-05
1646409171.848939,23,6.53693568892777e-05
1646409188.0468,24,5.005902494303882e-05
1646409204.216455,25,4.48047139798291e-05
1646409220.740172,26,5.254361167317256e-05
1646409236.809649,27,4.52938984381035e-05
1646409252.771424,28,3.396507236175239e-05
1646409268.930756,29,3.762933556572534e-05
1646409285.133854,30,3.716929495567456e-05
1646409301.420341,31,3.768793249037117e-05
1646409317.083409,32,2.713646972551942e-05
1646409333.321654,33,2.5165374609059654e-05
1646409349.620016,34,1.948802309925668e-05
1646409365.9891,35,2.1453115550684743e-05
1646409382.208065,36,1.9740005882340483e-05
1646409398.160956,37,1.8960408851853572e-05
1646409414.632402,38,2.2896845621289685e-05
1646409430.763149,39,2.270436925755348e-05
1646409446.854873,40,1.500341204518918e-05
1646409463.069401,41,1.6261723430943675e-05
1646409479.394611,42,1.1972773791057989e-05
1646409496.021913,43,1.448546663596062e-05
1646409512.00688,44,1.03554757515667e-05
1646409528.558136,45,1.4643705981143285e-05
1646409544.758246,46,1.235928175447043e-05
1646409561.043719,47,1.0078910236188676e-05
1646409577.291571,48,1.3918865079176612e-05
1646409593.738528,49,1.0133165233128238e-05
1646409610.115645,50,1.018821512843715e-05
1646409626.469777,51,1.2399311344779562e-05
1646409642.578043,52,8.372489901375957e-06
1646409658.823211,53,7.129794084903551e-06
1646409675.106117,54,8.33094964036718e-06
1646409691.638384,55,8.511809937772341e-06
1646409708.076594,56,5.187067017686786e-06
1646409724.509919,57,7.222305157483788e-06
1646409741.276315,58,6.906057024025358e-06
1646409757.658153,59,8.13905535324011e-06
1646409773.862236,60,5.973988663754426e-06
1646409790.232272,61,8.556117791158613e-06
1646409806.670534,62,5.8629148043110035e-06
1646409823.173565,63,5.812508788949344e-06
1646409839.414396,64,4.221045855956618e-06
1646409855.607516,65,5.647367288474925e-06
1646409872.556407,66,6.1743367041344754e-06
1646409889.020309,67,5.102383966004709e-06
1646409905.251078,68,3.746216634681332e-06
1646409921.638248,69,4.717696810985217e-06
1646409938.008186,70,4.610469659382943e-06
1646409954.751027,71,5.241644885245478e-06
1646409971.017155,72,4.205856384942308e-06
1646409987.413132,73,4.442214503797004e-06
1646410003.634939,74,3.604483708841144e-06
1646410019.914256,75,5.550684818445006e-06
1646410036.151532,76,4.381794497021474e-06
